"12"||"202408010001"||"user1"||"20240801"||"3"||"2024-08-02 02:38:35"||"N"
"13"||"202408010002"||"user2"||"20240801"||"2"||"2024-08-02 02:38:35"||"N"
"14"||"202408020001"||"user3"||"20240802"||"2"||"2024-08-03 02:38:35"||"N"
"15"||"202408020002"||"user1"||"20240802"||"1"||"2024-08-03 02:38:35"||"N"
"16"||"202408020003"||"user3"||"20240802"||"3"||"2024-08-03 02:38:35"||"Y"
"17"||"202408030001"||"user3"||"20240803"||"2"||"2024-08-04 02:38:35"||"N"
"18"||"202408040001"||"user1"||"20240804"||"1"||"2024-08-05 02:38:35"||"Y"
"19"||"202408050001"||"user2"||"20240805"||"4"||"2024-08-06 02:38:35"||"N"
"20"||"202408050002"||"user1"||"20240805"||"3"||"2024-08-06 02:38:35"||"Y"
"21"||"202408060001"||"user3"||"20240806"||"5"||"2024-08-07 02:38:35"||"N"
"23"||"202408110001"||"user00"||"20240811"||"3"||"2024-08-11 12:00:00"||"N"
"24"||"202408120001"||"user01"||"20240812"||"3"||"2024-08-12 12:00:00"||"N"
"25"||"202408130001"||"user02"||"20240813"||"3"||"2024-08-13 12:00:00"||"N"
"26"||"202408150001"||"user0"||"20240814"||"3"||"2024-08-15 12:00:00"||"N"
"27"||"202408190001"||"user0"||"20240819"||"3"||"2024-08-19 12:00:00"||"N"
